0 data/Character_Ninja_Black_14.obj data/texture_samurai.tga -0.350,0.000,-1.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga 1.900,-0.250,-2.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga 2.100,-0.250,-2.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga 1.900,-0.250,-1.650 -180.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga 2.100,-0.250,-1.650 -180.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_BridgeCover_01_23.obj data/texture_samurai.tga 2.000,0.000,-1.900 0.000,0.000,0.000 0.100,0.140,0.100 0 0 
2 data/gate-japan_15.obj data/texture_samurai.tga 0.000,0.200,1.750 0.000,0.000,0.000 0.050,0.096,0.050 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 2.150,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 2.400,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 2.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 2.900,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 3.150,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 3.400,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 3.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 3.900,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Env_CropRow_03_66.obj data/texture_samurai.tga -1.850,0.000,0.800 0.000,0.000,0.000 0.100,0.100,0.120 0 0 
2 data/SM_Env_CropRow_03_66.obj data/texture_samurai.tga -1.850,0.000,0.050 0.000,0.000,0.000 0.100,0.100,0.120 0 0 
2 data/SM_Env_CropRow_03_66.obj data/texture_samurai.tga -1.250,0.000,0.850 0.000,0.000,0.000 0.100,0.100,0.120 0 0 
2 data/SM_Env_CropRow_03_66.obj data/texture_samurai.tga -0.750,0.000,0.850 0.000,0.000,0.000 0.100,0.100,0.120 0 0 
2 data/SM_Env_CropRow_03_66.obj data/texture_samurai.tga -0.750,0.000,0.100 0.000,0.000,0.000 0.100,0.100,0.120 0 0 
2 data/SM_Env_CropRow_03_66.obj data/texture_samurai.tga -1.250,0.000,0.100 0.000,0.000,0.000 0.100,0.100,0.120 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -1.900,-0.250,-1.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -2.100,-0.250,-2.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -2.100,-0.250,-2.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -2.100,-0.250,-2.650 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_BridgeCover_01_23.obj data/texture_samurai.tga -2.000,0.000,-2.650 0.000,0.000,0.000 0.100,0.140,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -1.900,-0.250,-2.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -1.900,-0.250,-2.650 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 1.900,-0.250,-2.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 2.100,-0.250,-2.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 1.900,-0.250,-2.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 2.100,-0.250,-2.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 1.900,-0.250,-2.650 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 2.100,-0.250,-2.650 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_BridgeCover_01_23.obj data/texture_samurai.tga 2.000,0.000,-2.650 0.000,0.000,0.000 0.100,0.143,0.100 0 0 
2 data/SM_Bld_House_Base_Long_02_7.obj data/texture_samurai.tga 1.950,0.000,-4.650 90.000,0.000,0.000 0.200,0.200,0.100 0 0 
2 data/SM_Bld_House_Roof_Long_Wood_01_53.obj data/texture_samurai.tga 1.950,0.400,-4.650 -90.000,0.000,0.000 0.200,0.150,0.100 0 0 
2 data/SM_Bld_House_Door_02_10.obj data/texture_samurai.tga 1.950,0.000,-4.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Env_Tulips_01_7.obj data/texture_samurai.tga 1.600,0.000,-4.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_02_2.obj data/texture_samurai.tga 1.650,0.000,-4.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_01_7.obj data/texture_samurai.tga 1.800,0.000,-4.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_02_2.obj data/texture_samurai.tga 1.750,0.000,-4.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_02_2.obj data/texture_samurai.tga 2.150,0.000,-4.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_02_2.obj data/texture_samurai.tga 2.300,0.000,-4.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_01_7.obj data/texture_samurai.tga 2.230,0.000,-4.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,0.250 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,0.000 -120.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 0.000,-0.010,-0.200 45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,-0.450 45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 0.000,-0.010,-0.650 30.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,-0.850 -30.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga -0.250,-0.010,-0.800 -135.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 0.250,-0.010,-0.800 135.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga -0.450,-0.010,-0.800 45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga -0.700,-0.010,-0.800 -15.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga -0.950,-0.010,-0.800 30.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga -1.200,-0.010,-0.800 45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga -1.450,-0.010,-0.800 -15.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga -1.700,-0.010,-0.800 30.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga -1.950,-0.010,-0.800 45.000,0.000,0.000 0.112,0.100,0.112 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga -2.000,-0.010,-1.050 60.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga -2.000,-0.010,-1.300 45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.450,-0.010,-0.800 -30.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.750,-0.010,-0.800 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 0.950,-0.010,-0.800 -45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 1.200,-0.010,-0.800 105.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 1.450,-0.010,-0.800 30.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 1.650,-0.010,-0.800 -75.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 1.950,-0.010,-0.800 135.000,0.000,0.000 0.132,0.100,0.132 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 2.000,-0.010,-1.050 60.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 2.000,-0.010,-1.300 45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-0.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-0.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-0.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-1.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-1.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-1.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-1.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-2.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-2.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-2.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-2.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-3.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-3.400 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-3.650 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-3.900 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-4.150 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-4.400 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-4.650 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-4.900 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-5.150 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-5.400 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-5.650 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-5.900 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga 3.250,0.000,-4.000 0.000,0.000,0.000 0.100,0.150,0.100 0 0 
2 data/SM_Bld_House_Roof_Long_Thatch_01_6.obj data/texture_samurai.tga 3.250,0.300,-4.000 0.000,0.000,0.000 0.110,0.080,0.110 0 0 
2 data/SM_Bld_House_Door_02_10.obj data/texture_samurai.tga 3.020,0.000,-4.000 -90.000,0.000,0.000 0.100,0.150,0.100 0 0 
2 data/SM_Bld_House_Base_Long_01_25.obj data/texture_samurai.tga 3.250,0.000,-5.500 0.000,0.000,0.000 0.100,0.150,0.100 0 0 
2 data/SM_Bld_House_Roof_Long_Thatch_01_6.obj data/texture_samurai.tga 3.250,0.300,-5.500 0.000,0.000,0.000 0.110,0.080,0.110 0 0 
2 data/SM_Bld_House_Base_Long_03_8.obj data/texture_samurai.tga 0.000,0.000,-4.350 -90.000,0.000,0.000 0.200,0.200,0.250 0 0 
2 data/SM_Bld_House_Door_02_10.obj data/texture_samurai.tga 3.020,0.000,-5.500 -90.000,0.000,0.000 0.100,0.150,0.100 0 0 
2 data/SM_Bld_House_Roof_Long_Wood_01_53.obj data/texture_samurai.tga -0.050,0.450,-4.350 90.000,0.000,0.000 0.200,0.180,0.250 0 0 
2 data/SM_Bld_House_Door_01_66.obj data/texture_samurai.tga -1.050,0.000,-4.350 -90.000,0.000,0.000 0.300,0.200,0.100 0 0 
2 data/SM_Env_Bamboo_Group_01_38.obj data/texture_samurai.tga 0.750,0.000,-3.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bamboo_Group_01_38.obj data/texture_samurai.tga 0.550,0.000,-3.400 -120.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bamboo_Group_02_76.obj data/texture_samurai.tga 0.350,0.000,-3.350 75.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/castle-japan_14.obj data/texture_samurai.tga 0.000,0.000,-6.150 0.000,0.000,0.000 0.050,0.050,0.050 0 0 
2 data/japan-flag_big_22.obj data/texture_samurai.tga 0.200,0.000,-5.550 180.000,0.000,0.000 0.050,0.050,0.100 0 0 
2 data/japan-flag_big_22.obj data/texture_samurai.tga -0.200,0.000,-5.550 -180.000,0.000,0.000 0.050,0.050,0.100 0 0 
2 data/holder-katana-empty_8.obj data/texture_samurai.tga 0.000,0.000,-1.100 -180.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/katana_18.obj data/texture_samurai.tga -0.040,0.050,-1.100 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/katana_18.obj data/texture_samurai.tga -0.040,0.100,-1.100 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_House_Base_Long_01_25.obj data/texture_samurai.tga 1.750,0.000,-5.950 90.000,0.000,0.000 0.100,0.160,0.160 0 0 
2 data/SM_Bld_House_Base_Long_01_25.obj data/texture_samurai.tga 2.850,0.000,-6.900 90.000,0.000,0.000 0.100,0.180,0.160 0 0 
2 data/SM_Bld_House_Roof_Long_Wood_01_53.obj data/texture_samurai.tga 1.770,0.350,-5.950 90.000,0.000,0.000 0.100,0.160,0.160 0 0 
2 data/SM_Bld_House_Roof_Long_Wood_01_53.obj data/texture_samurai.tga 2.870,0.400,-6.900 -90.000,0.000,0.000 0.110,0.100,0.170 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-0.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-0.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
